sku,nombre,categoria,stock_actual,stock_minimo,unidades_faltantes,valor_inventario
SKU06619,Monitor Curvo Dell,Electronica,8,50,42,111936.16
SKU07346,MicroSD Samsung,Almacenamiento,8,50,42,3191.28
SKU00237,Monitor Curvo BenQ,Electronica,9,50,41,163305.81
SKU00853,Tarjeta Video Apple,Componentes,9,50,41,58764.87
SKU00877,Mouse SanDisk,Accesorios,9,50,41,2481.93
SKU06749,Mouse Ergonomico Corsair,Accesorios,9,50,41,5827.59
SKU08380,Chromebook,Electronica,9,50,41,88255.98
SKU08670,SSD Kingston,Almacenamiento,9,50,41,35723.79
SKU09215,Teclado HP,Accesorios,9,50,41,3370.23
SKU00931,Notebook Dell,Electronica,10,50,40,69503.80
SKU01980,MicroSD Sony,Almacenamiento,10,50,40,3795.80
SKU02516,SSD Externo Samsung,Almacenamiento,10,50,40,26372.20
SKU02905,Audifonos Anker,Audio,10,50,40,4431.90
SKU02999,Procesador Anker,Componentes,10,50,40,84675.50
SKU03629,Pantalla Portatil Anker,Electronica,10,50,40,29383.00
SKU04218,MacBook Epson,Electronica,10,50,40,248681.20
SKU06483,NAS Seagate,Almacenamiento,10,50,40,137161.90
SKU09703,Teclado HP,Accesorios,10,50,40,5930.20
SKU01444,Teclado Acer,Accesorios,11,50,39,9678.79
SKU01777,HDD Externo HyperX,Almacenamiento,11,50,39,14313.20
SKU02246,Fuente Poder Asus,Componentes,11,50,39,8826.73
SKU02960,USB Drive Anker,Almacenamiento,11,50,39,3057.78
SKU03766,Audifonos Gaming Razer,Audio,11,50,39,21604.11
SKU03822,Audifonos Apple,Audio,11,50,39,7118.76
SKU04457,Mouse Gaming Seagate,Accesorios,11,50,39,5415.74
SKU08045,HDD Externo SanDisk,Almacenamiento,11,50,39,29481.10
SKU08578,USB Drive HP,Almacenamiento,11,50,39,3103.98
SKU08665,Regulador,Energia,11,50,39,10240.23
SKU09262,Teclado Gaming HP,Accesorios,11,50,39,53509.50
SKU01845,Control Gaming,Gaming,12,50,38,20516.88
SKU03940,Monitor Curvo Sony,Electronica,12,50,38,142694.52
SKU07698,SSD Razer,Almacenamiento,12,50,38,27972.12
SKU09899,Monitor Gaming Corsair,Electronica,12,50,38,210898.92
SKU00632,Audifonos Kingston,Audio,13,50,37,5268.12
SKU01974,Teclado WD,Accesorios,13,50,37,20394.14
SKU03542,Fuente Poder Corsair,Componentes,13,50,37,16091.66
SKU04956,Teclado Mecanico Epson,Accesorios,13,50,37,27514.11
SKU05251,MacBook Corsair,Electronica,13,50,37,323034.79
SKU05403,Bocina Bluetooth BenQ,Audio,13,50,37,24431.81
SKU05874,Mousepad XL,Accesorios,13,50,37,11242.79
SKU05913,Pantalla Portatil HP,Electronica,13,50,37,53281.80
SKU06304,Audifonos Bluetooth Kingston,Audio,13,50,37,17829.11
SKU06364,Stylus BenQ,Accesorios,13,50,37,23514.79
SKU06782,HDD Gigabyte,Almacenamiento,13,50,37,10252.32
SKU00670,MacBook Seagate,Electronica,14,50,36,inf
SKU00780,Monitor Gaming TP-Link,Electronica,14,50,36,100001.58
SKU02588,MacBook Seagate,Electronica,14,50,36,312724.44
SKU02718,Audifonos Gaming Apple,Audio,14,50,36,23591.40
SKU02757,Microfono USB Asus,Audio,14,50,36,16879.52
SKU03148,HDD Externo Xiaomi,Almacenamiento,14,50,36,14340.20
SKU06996,Chromebook BenQ,Electronica,14,50,36,133168.28
SKU08075,Mouse Ergonomico Asus,Accesorios,14,50,36,11971.40
SKU08240,Monitor Curvo Samsung,Electronica,14,50,36,90875.96
SKU09372,SSD Externo Seagate,Almacenamiento,14,50,36,43659.14
SKU00239,Teclado Mecanico Samsung,Accesorios,15,50,35,30036.75
SKU03684,NAS Lenovo,Almacenamiento,15,50,35,309583.50
SKU04453,Teclado Gaming Kingston,Accesorios,15,50,35,28469.25
SKU04552,Tarjeta Video Corsair,Componentes,15,50,35,252044.85
SKU05619,Microfono LG,Audio,15,50,35,40455.90
SKU05877,Notebook Corsair,Electronica,15,50,35,150363.45
SKU06786,HDD Externo BenQ,Almacenamiento,15,50,35,49203.15
SKU07292,Audifonos Bluetooth Sony,Audio,15,50,35,48887.40
SKU08411,HDD Epson,Almacenamiento,15,50,35,13320.75
SKU00400,SSD Externo SanDisk,Almacenamiento,16,50,34,33574.56
SKU00753,Pantalla Portatil Corsair,Electronica,16,50,34,80050.56
SKU02166,Touchpad Samsung,Accesorios,16,50,34,14253.60
SKU02821,Bocina HP,Audio,16,50,34,18140.16
SKU04084,Laptop Canon,Electronica,16,50,34,150583.52
SKU04716,Router Mesh,Redes,16,50,34,89228.16
SKU05694,Monitor Curvo HyperX,Electronica,16,50,34,243376.96
SKU06739,Teclado Mecanico BenQ,Accesorios,16,50,34,46525.76
SKU07133,Mouse TP-Link,Accesorios,16,50,34,4619.04
SKU08049,Audifonos Bluetooth TP-Link,Audio,16,50,34,39949.60
SKU08096,Audifonos,Audio,16,50,34,10988.16
SKU08490,Monitor Gaming Acer,Electronica,16,50,34,230018.08
SKU08509,Fuente Poder Corsair,Componentes,16,50,34,21358.56
SKU08628,Teclado Gaming Apple,Accesorios,16,50,34,63657.76
SKU09306,RAM Asus,Componentes,16,50,34,43552.00
SKU01401,Audifonos Gaming Canon,Audio,17,50,33,14331.17
SKU01413,Audifonos Bluetooth,Audio,17,50,33,8435.91
SKU01438,MacBook,Electronica,17,50,33,658835.68
SKU01466,Mouse Gaming Kingston,Accesorios,17,50,33,11594.34
SKU03015,Procesador Dell,Componentes,17,50,33,95969.42
SKU03419,SSD Externo WD,Almacenamiento,17,50,33,82422.46
SKU05325,Notebook Samsung,Electronica,17,50,33,318563.68
SKU08056,Audifonos Gaming SanDisk,Audio,17,50,33,14081.78
SKU08256,Laptop TP-Link,Electronica,17,50,33,211264.61
SKU09579,Monitor 4K BenQ,Electronica,17,50,33,343184.27
SKU09825,Mouse Ergonomico Acer,Accesorios,17,50,33,9864.08
SKU02377,Ultrabook LG,Electronica,18,50,32,296941.32
SKU03622,Barra Sonido Xiaomi,Audio,18,50,32,34646.40
SKU03693,USB Drive Acer,Almacenamiento,18,50,32,4778.46
SKU03894,SSD Canon,Almacenamiento,18,50,32,37114.02
SKU03924,SSD Asus,Almacenamiento,18,50,32,56146.86
SKU04494,Bocina MSI,Audio,18,50,32,30677.22
SKU04636,Touchpad Acer,Accesorios,18,50,32,20003.94
SKU04892,HDD Lenovo,Almacenamiento,18,50,32,53322.12
SKU05731,Touchpad Samsung,Accesorios,18,50,32,11792.88
SKU05862,Monitor Gaming Lenovo,Electronica,18,50,32,311627.52
SKU07135,USB Drive SanDisk,Almacenamiento,18,50,32,4606.02
SKU07220,Camara Seguridad,Video,18,50,32,19812.78
SKU07295,Microfono USB Gigabyte,Audio,18,50,32,11877.66
SKU07757,Monitor 4K Samsung,Electronica,18,50,32,341449.20
SKU08029,Pantalla Portatil WD,Electronica,18,50,32,128708.64
SKU00005,Microfono Canon,Audio,19,50,31,24722.99
SKU02569,RAM,Componentes,19,50,31,29530.56
SKU04391,Notebook Samsung,Electronica,19,50,31,191328.10
SKU05884,HDD Externo Sony,Almacenamiento,19,50,31,23922.33
SKU06690,HDD HP,Almacenamiento,19,50,31,31942.61
SKU06736,Mouse Acer,Accesorios,19,50,31,4350.43
SKU00119,Laptop Seagate,Electronica,0,30,30,0.00
SKU00363,Audifonos Samsung,Audio,20,50,30,4268.40
SKU00472,Barra Sonido Razer,Audio,0,30,30,0.00
SKU00696,Microfono Samsung,Audio,20,50,30,24682.80
SKU01112,Monitor 4K Epson,Electronica,20,50,30,291031.40
SKU01449,SSD Externo Apple,Almacenamiento,20,50,30,72456.60
SKU01527,MicroSD Canon,Almacenamiento,0,30,30,0.00
SKU01743,SSD Asus,Almacenamiento,0,30,30,0.00
SKU01768,Teclado SanDisk,Accesorios,0,30,30,0.00
SKU02504,Procesador Sony,Componentes,20,50,30,337026.40
SKU02599,MacBook Dell,Electronica,0,30,30,0.00
SKU02996,Audifonos Bluetooth,Audio,0,30,30,0.00
SKU03481,Procesador Epson,Componentes,20,50,30,307645.20
SKU03912,Audifonos Bluetooth Acer,Audio,0,30,30,0.00
SKU04529,Barra Sonido Dell,Audio,20,50,30,40164.20
SKU04546,MacBook Anker,Electronica,20,50,30,852838.60
SKU04683,Bocina Bluetooth BenQ,Audio,20,50,30,81483.40
SKU05795,Camara Seguridad,Video,0,30,30,0.00
SKU06016,Monitor Gigabyte,Electronica,20,50,30,169272.60
SKU06303,SSD Externo Kingston,Almacenamiento,0,30,30,0.00
SKU06589,Barra Sonido HP,Audio,0,30,30,0.00
SKU06808,USB Drive Gigabyte,Almacenamiento,20,50,30,2271.20
SKU07114,Teclado Mecanico Logitech,Accesorios,20,50,30,33102.60
SKU07197,Chromebook Xiaomi,Electronica,0,30,30,0.00
SKU07622,Procesador TP-Link,Componentes,0,30,30,0.00
SKU07625,Fuente Poder BenQ,Componentes,20,50,30,49680.00
SKU08461,Laptop Corsair,Electronica,0,30,30,0.00
SKU09641,MacBook BenQ,Electronica,0,30,30,0.00
SKU09643,Ultrabook Corsair,Electronica,20,50,30,338299.80
SKU09849,Monitor 4K Gigabyte,Electronica,0,30,30,0.00
SKU09873,Mouse Corsair,Accesorios,20,50,30,11473.80
SKU00263,Mouse Xiaomi,Accesorios,21,50,29,8540.07
SKU00301,Pantalla Portatil Seagate,Electronica,1,30,29,3925.94
SKU02853,NAS Acer,Almacenamiento,1,30,29,7120.81
SKU03283,Teclado Samsung,Accesorios,1,30,29,561.09
SKU03591,Teclado Epson,Accesorios,1,30,29,515.71
SKU03849,Audifonos Gaming Razer,Audio,21,50,29,48105.54
SKU04227,Ultrabook,Electronica,1,30,29,18609.79
SKU04382,Monitor Gaming TP-Link,Electronica,1,30,29,14827.39
SKU04555,Ultrabook Canon,Electronica,21,50,29,724742.34
SKU05323,Stylus,Accesorios,21,50,29,21239.82
SKU06941,Tarjeta Video TP-Link,Componentes,1,30,29,12015.25
SKU07065,Fuente Poder Acer,Componentes,1,30,29,2338.57
SKU07143,Procesador Asus,Componentes,1,30,29,11948.66
SKU07338,Bocina Bluetooth Seagate,Audio,21,50,29,53831.40
SKU07429,Procesador MSI,Componentes,21,50,29,282085.02
SKU07571,SSD Externo Acer,Almacenamiento,1,30,29,5361.61
SKU07682,MacBook HP,Electronica,1,30,29,44700.48
SKU08927,Touchpad Xiaomi,Accesorios,1,30,29,972.22
SKU08962,Microfono USB Kingston,Audio,1,30,29,1289.64
SKU09515,Touchpad Sony,Accesorios,1,30,29,1665.81
SKU00454,Audifonos Bluetooth Asus,Audio,2,30,28,3064.82
SKU00695,Mouse Gaming Acer,Accesorios,2,30,28,3091.34
SKU00882,Touchpad Lenovo,Accesorios,22,50,28,22200.42
SKU02008,Chromebook Xiaomi,Electronica,2,30,28,20817.72
SKU02093,Microfono MSI,Audio,2,30,28,2358.02
SKU03486,Monitor 4K Razer,Electronica,2,30,28,38859.86
SKU03777,Microfono USB Anker,Audio,22,50,28,17946.06
SKU03942,HDD Kingston,Almacenamiento,22,50,28,28911.52
SKU04466,Teclado Mecanico Sony,Accesorios,2,30,28,3132.06
SKU04548,USB Drive Seagate,Almacenamiento,22,50,28,2734.16
SKU04951,Microfono USB Sony,Audio,2,30,28,1759.88
SKU05255,HDD Externo Canon,Almacenamiento,22,50,28,41633.46
SKU05774,SSD Canon,Almacenamiento,2,30,28,5105.50
SKU06047,Tarjeta Video WD,Componentes,22,50,28,489541.14
SKU06374,Procesador Acer,Componentes,22,50,28,369569.42
SKU06508,Microfono USB Samsung,Audio,22,50,28,46000.68
SKU06970,Mouse TP-Link,Accesorios,2,30,28,500.76
SKU07256,Repetidor WiFi,Redes,2,30,28,1882.72
SKU07307,Audifonos Apple,Audio,2,30,28,1997.84
SKU07498,Mouse Canon,Accesorios,2,30,28,898.40
SKU07904,Notebook Xiaomi,Electronica,22,50,28,325619.58
SKU07932,Microfono Apple,Audio,2,30,28,3503.54
SKU08298,Monitor LG,Electronica,2,30,28,10139.72
SKU08520,Touchpad Asus,Accesorios,2,30,28,4477.36
SKU08903,HDD Externo TP-Link,Almacenamiento,2,30,28,2961.58
SKU09007,Teclado Mecanico Asus,Accesorios,22,50,28,49666.76
SKU09023,Stylus Logitech,Accesorios,22,50,28,36109.26
SKU09131,MacBook SanDisk,Electronica,2,30,28,69943.92
SKU00006,Monitor Gaming Sony,Electronica,3,30,27,60148.89
SKU00012,Microfono USB Sony,Audio,3,30,27,4586.94
SKU00842,Teclado Gaming Razer,Accesorios,3,30,27,8705.28
SKU01146,RAM Canon,Componentes,3,30,27,6820.38
SKU01947,MicroSD Gigabyte,Almacenamiento,23,50,27,15758.22
SKU02913,Tarjeta Video Kingston,Componentes,3,30,27,46602.21
SKU03017,SSD Externo Razer,Almacenamiento,3,30,27,4090.95
SKU03296,Monitor Curvo Sony,Electronica,3,30,27,26750.94
SKU03533,Impresora Laser,Impresion,3,30,27,29453.22
SKU03956,Microfono Dell,Audio,3,30,27,8404.41
SKU05112,Teclado Samsung,Accesorios,3,30,27,1470.66
SKU05224,Ultrabook Dell,Electronica,3,30,27,47634.30
SKU05450,HDD Externo HP,Almacenamiento,23,50,27,71739.76
SKU06189,NAS Logitech,Almacenamiento,3,30,27,36175.59
SKU06832,Notebook Xiaomi,Electronica,23,50,27,286212.23
SKU07219,Teclado Mecanico Anker,Accesorios,3,30,27,3194.37
SKU07979,Notebook Logitech,Electronica,3,30,27,29709.00
SKU08418,Procesador WD,Componentes,3,30,27,54762.51
SKU08621,MicroSD HP,Almacenamiento,3,30,27,1548.99
SKU09698,Bocina Bluetooth HyperX,Audio,23,50,27,29721.29
SKU09731,Monitor 4K Xiaomi,Electronica,3,30,27,62735.34
SKU09838,Chromebook TP-Link,Electronica,3,30,27,46178.88
SKU00330,USB Drive WD,Almacenamiento,24,50,26,5401.44
SKU01276,HDD Corsair,Almacenamiento,24,50,26,19917.36
SKU01318,Laptop Epson,Electronica,4,30,26,78611.32
SKU01710,NAS Anker,Almacenamiento,4,30,26,85791.44
SKU02140,Touchpad Sony,Accesorios,4,30,26,3535.16
SKU02646,Audifonos Asus,Audio,4,30,26,2889.56
SKU02662,SSD Externo Seagate,Almacenamiento,4,30,26,8122.36
SKU03150,HDD Externo Razer,Almacenamiento,4,30,26,9083.72
SKU03469,Mouse Gaming Lenovo,Accesorios,4,30,26,4820.52
SKU03731,MicroSD Xiaomi,Almacenamiento,4,30,26,1828.16
SKU03858,Teclado Gaming Canon,Accesorios,4,30,26,12702.12
SKU04226,Laptop Canon,Electronica,4,30,26,95288.20
SKU04428,Teclado Gaming MSI,Accesorios,4,30,26,9599.96
SKU05520,Monitor Curvo LG,Electronica,24,50,26,193564.32
SKU05686,Teclado Gaming,Accesorios,24,50,26,96682.56
SKU06756,Microfono USB Acer,Audio,24,50,26,37273.44
SKU06857,MicroSD Samsung,Almacenamiento,24,50,26,7123.20
SKU08835,Touchpad Lenovo,Accesorios,24,50,26,13001.52
SKU09054,Chromebook HP,Electronica,4,30,26,45849.64
SKU09426,Teclado BenQ,Accesorios,4,30,26,2164.60
SKU09794,Monitor 4K WD,Electronica,4,30,26,58212.52
SKU00251,Audifonos Gaming Samsung,Audio,0,25,25,0.00
SKU00785,Microfono Corsair,Audio,0,25,25,0.00
SKU01049,Ultrabook Anker,Electronica,0,25,25,0.00
SKU01057,Pantalla Portatil BenQ,Electronica,0,25,25,0.00
SKU01243,MicroSD Canon,Almacenamiento,25,50,25,25395.50
SKU01398,Monitor Curvo Corsair,Electronica,0,25,25,0.00
SKU01461,Monitor Samsung,Electronica,25,50,25,85126.25
SKU01560,Mouse SanDisk,Accesorios,5,30,25,814.10
SKU02423,Procesador Corsair,Componentes,5,30,25,31263.55
SKU02453,Microfono Canon,Audio,0,25,25,0.00
SKU02863,Bocina Canon,Audio,5,30,25,4220.20
SKU02941,MicroSD BenQ,Almacenamiento,5,30,25,1521.50
SKU02991,HDD Externo Dell,Almacenamiento,5,30,25,11542.90
SKU03005,Teclado Logitech,Accesorios,25,50,25,22863.75
SKU03055,RAM Samsung,Componentes,0,25,25,0.00
SKU03348,Barra Sonido Samsung,Audio,5,30,25,23503.95
SKU03821,Microfono Apple,Audio,0,25,25,0.00
SKU03856,HDD Externo Dell,Almacenamiento,0,25,25,0.00
SKU03920,Laptop Epson,Electronica,25,50,25,271369.50
SKU03969,Audifonos Dell,Audio,25,50,25,4654.25
SKU04062,RAM Anker,Componentes,25,50,25,35181.75
SKU04076,MicroSD Seagate,Almacenamiento,0,25,25,0.00
SKU04155,Audifonos Gaming Kingston,Audio,0,25,25,0.00
SKU04351,Microfono Canon,Audio,5,30,25,9131.20
SKU04444,Fuente Poder Epson,Componentes,0,25,25,0.00
SKU04531,Microfono USB,Audio,5,30,25,7859.20
SKU04681,Fuente Poder Acer,Componentes,5,30,25,6828.95
SKU04786,HDD Corsair,Almacenamiento,5,30,25,8160.25
SKU04976,Audifonos Gaming Anker,Audio,0,25,25,0.00
SKU05039,Chromebook MSI,Electronica,0,25,25,0.00
SKU05058,Mouse Gaming Apple,Accesorios,0,25,25,0.00
SKU05692,Monitor Curvo Anker,Electronica,5,30,25,55688.20
SKU05702,Microfono USB Razer,Audio,25,50,25,39763.75
SKU05824,Monitor 4K Logitech,Electronica,0,25,25,0.00
SKU05867,Monitor WD,Electronica,25,50,25,181539.25
SKU06080,Audifonos Seagate,Audio,5,30,25,1455.70
SKU06153,Teclado Dell,Accesorios,25,50,25,25890.00
SKU06338,Audifonos Bluetooth Logitech,Audio,5,30,25,11104.30
SKU06362,Bocina Xiaomi,Audio,5,30,25,9785.35
SKU06371,Audifonos Gaming HP,Audio,0,25,25,0.00
SKU06551,HDD Externo Corsair,Almacenamiento,25,50,25,84347.50
SKU06625,Mouse Gaming TP-Link,Accesorios,0,25,25,0.00
SKU06985,Cable Ethernet,Redes,0,25,25,0.00
SKU07602,Ultrabook TP-Link,Electronica,5,30,25,66634.80
SKU07735,Pantalla Portatil SanDisk,Electronica,25,50,25,64116.00
SKU08040,SSD Samsung,Almacenamiento,0,25,25,0.00
SKU08289,Procesador BenQ,Componentes,0,25,25,0.00
SKU08482,Tarjeta Video Corsair,Componentes,5,30,25,100697.50
SKU08645,Touchpad Kingston,Accesorios,25,50,25,35934.50
SKU08991,Microfono USB Gigabyte,Audio,5,30,25,4481.60
SKU09302,Bocina MSI,Audio,0,25,25,0.00
SKU09366,USB Drive BenQ,Almacenamiento,0,25,25,0.00
SKU09447,Chromebook HyperX,Electronica,0,25,25,0.00
SKU00044,Microfono USB Logitech,Audio,6,30,24,7525.98
SKU00076,HDD Dell,Almacenamiento,1,25,24,873.88
SKU00127,MacBook Acer,Electronica,26,50,24,792577.76
SKU00244,MacBook Samsung,Electronica,6,30,24,115281.36
SKU00319,Pantalla Portatil Corsair,Electronica,26,50,24,123823.96
SKU00562,Monitor Curvo Razer,Electronica,6,30,24,86098.68
SKU00668,MacBook SanDisk,Electronica,1,25,24,34264.55
SKU00921,Bocina WD,Audio,6,30,24,10418.34
SKU00965,RAM Corsair,Componentes,6,30,24,6312.60
SKU01574,Tarjeta Video SanDisk,Componentes,6,30,24,27961.50
SKU02289,Bocina Apple,Audio,6,30,24,4143.84
SKU02488,MicroSD HP,Almacenamiento,6,30,24,3952.14
SKU02713,HDD Canon,Almacenamiento,1,25,24,2293.60
SKU02742,Laptop Gigabyte,Electronica,6,30,24,122259.72
SKU02904,Monitor Gaming Epson,Electronica,6,30,24,62899.92
SKU02924,RAM Epson,Componentes,1,25,24,876.79
SKU03335,Bocina Acer,Audio,6,30,24,14957.70
SKU04115,Monitor 4K BenQ,Electronica,6,30,24,80206.26
SKU04255,RAM Corsair,Componentes,6,30,24,3033.36
SKU04289,Teclado Dell,Accesorios,1,25,24,1737.07
SKU04671,SSD Anker,Almacenamiento,26,50,24,75446.28
SKU05101,Tarjeta Video Canon,Componentes,6,30,24,114364.68
SKU05556,HDD Externo Lenovo,Almacenamiento,1,25,24,3153.46
SKU06405,Bocina Lenovo,Audio,6,30,24,9384.48
SKU06445,Audifonos Bluetooth Apple,Audio,6,30,24,7723.50
SKU06481,Cartucho Tinta,Impresion,6,30,24,3642.54
SKU06486,Cargador,Accesorios,26,50,24,4832.88
SKU06516,Ultrabook Xiaomi,Electronica,1,25,24,26565.61
SKU06599,Fuente Poder BenQ,Componentes,6,30,24,15553.32
SKU06703,Lampara Escritorio,Accesorios,26,50,24,24655.02
SKU07364,MicroSD TP-Link,Almacenamiento,6,30,24,1180.92
SKU07508,Monitor Gaming Samsung,Electronica,26,50,24,492474.06
