sku,nombre,categoria,precio,stock,stock_minimo
SKU00045,Bocina Bluetooth Acer,Audio,1632.75,6,25
SKU00046,Laptop Canon,Electronica,25792.08,4,10
SKU00047,Stylus Seagate,Accesorios,333.90,7,25
SKU00048,Teclado Anker,Accesorios,1208.22,41,30
SKU00049,Microfono Kingston,Audio,2608.29,22,30
SKU00050,Mouse Gaming MSI,Accesorios,1073.40,93,50,inf,$100,3,500
SKU00051,Bocina Bluetooth Corsair,Audio,4455.12,10,20
SKU00052,Audifonos HP,Audio,303.55,11,25
SKU00053,Bocina Kingston,Audio,1091.79,12..5,10
SKU00054,Laptop Samsung,Electronica,15757.92,15,5
SKU00055,USB Drive MSI,Almacenamiento,72.36,81,30
SKU00056,Monitor Curvo TP-Link,Electronica,15880.62,28,20
SKU00057,Audifonos Bluetooth Asus,Audio,1580.93,58,30
SKU00058,SSD MSI,Almacenamiento,3181.35,28,30
SKU00059,Microfono Sony,Audio,525.59,1,5
SKU00060,Teclado Corsair,Accesorios,769.02,1,5
SKU00061,Barra Sonido Xiaomi,Audio,5812.28,74,25
SKU00062,Notebook Canon,Electronica,14643.16,21,15
SKU00063,Monitor Gaming Dell,Electronica,18532.61,0,5
SKU00064,Teclado Gaming Dell,Accesorios,2249.40,72,25
SKU00065,Pantalla Portatil Logitech,Electronica,7010.78,27,10
SKU00066,Notebook Acer,Electronica,17146.19,-,30
SKU00067,Touchpad LG,Accesorios,1121.71,33,15
SKU00068,RAM Logitech,Componentes,2823.82,47,20
SKU00069,Monitor Curvo Acer,Electronica,14540.23,23,20
SKU00070,MicroSD Lenovo,Almacenamiento,503.58,40,25
SKU00071,Mouse,Accesorios,413.09,0,5
SKU00072,Monitor Curvo Xiaomi,Electronica,12923.15,7,25
SKU00073,SSD Canon,Almacenamiento,1525.38,8,5
SKU00074,Fuente Poder Gigabyte,Componentes,3821.90,12,20
SKU00075,MicroSD Anker,Almacenamiento,517.17,sin_dato,20
SKU00076,HDD Dell,Almacenamiento,873.88,1,25
SKU00077,Lampara Escritorio,Accesorios,780.65,11,10
SKU00078,MacBook Gigabyte,Electronica,36879.09,17,10
SKU00079,Notebook HP,Electronica,11758.83,11,5
SKU00080,Licencia Windows,Software,3003.59,48,20
SKU00081,Teclado Gaming Acer,Accesorios,1215.86
SKU00082,Touchpad Acer,Accesorios,1907.53,2,15
SKU00083,Touchpad Canon,Accesorios,690.16,53,20
SKU00084,Monitor Curvo SanDisk,Electronica,14642.43,52,20
SKU00085,Audifonos Gaming Canon,Audio,1563.32,31,50
SKU00086,Mouse Epson,Accesorios,312.02,15,5
SKU00087,Ventilador,Componentes,1144.56,12,10
SKU00088,Teclado Mecanico Epson,Accesorios,2704.77,16,30
SKU00089,Notebook Acer,Electronica,17462.09,6,20
SKU00090,Cable Ethernet,Redes,61.84,38,25
SKU00091,SSD Corsair,Almacenamiento,1709.69,39,15
SKU00092,Monitor MSI,Electronica,8194.12,20,15
SKU00093,Extension Electrica,Energia,233.15,12,5,N/A,TBD
SKU00094,Monitor 4K MSI,Electronica,13869.65,28,10
SKU00095,Microfono Anker,Audio,3314.69,65,50
SKU00096,Teclado Mecanico MSI,Accesorios,1087.63,50,25
SKU00097,Monitor Anker,Electronica,4480.67,29,15
SKU00098,Teclado Seagate,Accesorios,1008.83,36,15
SKU00099,Monitor MSI,Electronica,12532.10,55,20
SKU00100,Audifonos Bluetooth HP,Audio,2141.14,38,20
SKU00101,Audifonos Bluetooth Asus,Audio,2056.37,30,N/A
SKU00102,Teclado Mecanico Xiaomi,Accesorios,2023.03,10,5
SKU00103,MacBook HyperX,Electronica,51655.91,3,5
SKU00104,Bocina Bluetooth Asus,Audio,1773.37,15,15
SKU00105,Microfono WD,Audio,2600.51,47,30
SKU00106,Pantalla Portatil WD,Electronica,5243.58,11,15
SKU00107,Monitor Curvo Acer,Electronica,9941.26,20,10
SKU00108,Monitor Lenovo,Electronica,7776.23,2,15
SKU00109,Barra Sonido MSI,Audio,4695.33,45,25
SKU00110,Audifonos Bluetooth TP-Link,Audio,682.15,126,50
SKU00111,Mouse Ergonomico Lenovo,Accesorios,546.67,13,15
SKU00112,Router,Redes,1887.85,3,10
SKU00113,MacBook Asus,Electronica,39970.81,11,30
SKU00114,Bocina Razer,Audio,745.90,92,50
SKU00115,Control Gaming,Gaming,567.69,9,15
SKU00116,MicroSD Corsair,Almacenamiento,637.32,26,15
SKU00117,Chromebook WD,Electronica,7250.12,11,20
SKU00118,Laptop Logitech,Electronica,18866.49,19,20
SKU00119,Laptop Seagate,Electronica,18866.36,0,30
SKU00120,Teclado Mecanico WD,Accesorios,TBD,3,10
SKU00121,Pantalla Portatil Razer,Electronica,4969.76,3,25
SKU00122,Barra Sonido Samsung,Audio,6880.01,125,50
SKU00123,Monitor Gaming SanDisk,Electronica,14756.65,1,5
SKU00124,Monitor Logitech,Electronica,8726.22,138,50
SKU00125,USB Drive MSI,Almacenamiento,258.46,61,30
SKU00126,Bocina Samsung,Audio,1073.07,3,5
SKU00127,MacBook Acer,Electronica,30483.76,26,50
SKU00128,Barra Sonido HP,Audio,2726.45,58,50
SKU00129,Pantalla Portatil Epson,Electronica,4224.58,1,5,error
SKU00130,HDD Externo BenQ,Almacenamiento,3757.27,19,10
SKU00131,Touchpad Razer,Accesorios,2000.71,11,5
SKU00132,Bocina WD,Audio,1877.63,18,20
SKU00133,NAS LG,Almacenamiento,20248.64,2,5
SKU00134,SSD BenQ,Almacenamiento,1319.18,44,30
SKU00135,Pantalla Portatil WD,Electronica,8588.17,31,15
SKU00136,Audifonos Bluetooth HP,Audio,1075.32,18,20
SKU00137,Teclado Gaming Corsair,Accesorios,3070.50,59,50
SKU00138,Pantalla Portatil Xiaomi,Electronica,3019.44,96,50
SKU00139,HDD HP,Almacenamiento,935.96,30,30
SKU00140,Monitor Curvo,Electronica,12158.89,1,5
SKU00141,HDD Xiaomi,Almacenamiento,1379.34,4,15
SKU00142,Audifonos Gaming Logitech,Audio,1341.07,1,10
SKU00143,MicroSD BenQ,Almacenamiento,550.49,52,25
SKU00144,Stylus Gigabyte,Accesorios,615.73,48,30
SKU00145,SSD Dell,Almacenamiento,3292.17,0,5
SKU00146,Microfono USB SanDisk,Audio,2031.35,46,20
SKU00147,Chromebook Dell,Electronica,9994.61,59,25
SKU00148,USB Drive Samsung,Almacenamiento,77.84,41,25
SKU00149,HDD Corsair,Almacenamiento,594.07,31,50
SKU00150,MacBook Anker,Electronica,45774.70,45,15
SKU00151,Barra Sonido SanDisk,Audio,3356.07,9,10
SKU00152,HDD Gigabyte,Almacenamiento,1036.81,62,25
SKU00153,Mouse SanDisk,Accesorios,219.72,34,30
SKU00154,HDD Externo Acer,Almacenamiento,3605.73,15,15,cien,TBD,3,500
SKU00155,Laptop,Electronica,19153.77,11,10
SKU00156,HDD Externo Seagate,Almacenamiento,3654.40,15,25
SKU00157,HDD Externo Logitech,Almacenamiento,812.63,9,25
SKU00158,Mouse Lenovo,Accesorios,245.02,54,20
SKU00159,Procesador Acer,Componentes,17874.73,60,25
SKU00160,Cargador,Accesorios,193.56,44,15
SKU00161,Mouse Ergonomico Razer,Accesorios,314.72,81,50
SKU00162,Monitor SanDisk,Electronica,10948.23,67,25,cien
SKU00163,Cargador,Accesorios,167.52,11,5
SKU00164,Procesador Kingston,Componentes,6636.27,12,25
SKU00165,Audifonos Bluetooth Xiaomi,Audio,1836.83,27,15
SKU00166,Audifonos Bluetooth Razer,Audio,2857.55,47,30
SKU00167,Teclado Mecanico LG,Accesorios,3705.73,29,10
SKU00168,Cartucho Tinta,Impresion,698.39,2,15
SKU00169,HDD Xiaomi,Almacenamiento,1523.83,39,30
SKU00170,Router,Redes,890.84,2,5
SKU00171,Microfono Kingston,Audio,2125.11,67,30
SKU00172,Teclado Mecanico Acer,Accesorios,3705.72,13,5
SKU00173,Chromebook Gigabyte,Electronica,12242.24,46,20
SKU00174,Gabinete,Componentes,612.53,21,20
SKU00175,SSD Dell,Almacenamiento,3420.25,55,30
SKU00176,Teclado Mecanico Apple,Accesorios,2922.20,9,10
SKU00177,Audifonos Bluetooth Canon,Audio,1804.77,15,10
SKU00178,Notebook TP-Link,Electronica,9601.51,38,15
SKU00179,Procesador BenQ,Componentes,11816.18,23,20
SKU00180,Pantalla Portatil BenQ,Electronica,2423.94,3,25
SKU00181,Monitor 4K SanDisk,Electronica,23864.61,13,5
SKU00182,Mouse Ergonomico Epson,Accesorios,1355.71,38,30
SKU00183,Extension Electrica,Energia,265.42,24,20
SKU00184,NAS,Almacenamiento,10328.47,10,15
SKU00185,RAM Gigabyte,Componentes,1110.57,7,10
SKU00186,Ultrabook MSI,Electronica,17335.19,67,30
SKU00187,HDD Externo Dell,Almacenamiento,2980.45,3,500,10
SKU00188,Audifonos Xiaomi,Audio,472.63,32,15
SKU00189,Barra Sonido,Audio,5488.66,47,30
SKU00190,USB Drive TP-Link,Almacenamiento,295.36,63,50
SKU00191,Mouse Gaming Corsair,Accesorios,1528.60,51,30,12..5,cien
SKU00192,Audifonos Corsair,Audio,442.00,13,5
SKU00193,Webcam HD,Video,641.81,11,5
SKU00194,Fuente Poder Canon,Componentes,2480.90,16,20
SKU00195,Stylus Sony,Accesorios,551.79,9,10,cien,12..5,
SKU00196,Laptop SanDisk,Electronica,18542.30,6,20
SKU00197,Chromebook Dell,Electronica,8174.57,29,20
SKU00198,RAM Razer,Componentes,#REF!,3,5
SKU00199,Pantalla Portatil HyperX,Electronica,7069.17,18,10
SKU00200,Laptop Razer,Electronica,14182.50,65,30
SKU00201,Procesador Canon,Componentes,11210.86,66,50
SKU00202,SSD Corsair,Almacenamiento,2634.07,4,5
SKU00203,Pantalla Portatil Asus,Electronica,3504.95,43,20
SKU00204,Pantalla Portatil Razer,Electronica,4838.73,45,20
SKU00205,Bocina SanDisk,Audio,865.16,30,30
SKU00206,Audifonos Gaming Anker,Audio,952.66,33,20
SKU00207,Chromebook Samsung,Electronica,6567.85,143,50
SKU00208,Stylus WD,Accesorios,658.09,8,30
SKU00209,HDD Kingston,Almacenamiento,1074.13,38,15
SKU00210,RAM Gigabyte,Componentes,1826.56,21,25
SKU00211,Audifonos SanDisk,Audio,570.13,5,5
SKU00212,Procesador WD,Componentes,5900.55,12..5,25
SKU00213,Teclado MSI,Accesorios,1532.26,15,10
SKU00214,Touchpad Dell,Accesorios,1893.27,46,20
SKU00215,Mouse Gaming Xiaomi,Accesorios,1272.20,147,50
SKU00216,HDD Externo Seagate,Almacenamiento,1936.00,60,25
SKU00217,Audifonos Xiaomi,Audio,258.92,47,20
SKU00218,Laptop Gigabyte,Electronica,13474.34,35,15
SKU00219,Teclado Gaming Lenovo,Accesorios,1151.63,136,50
SKU00220,HDD Externo Anker,Almacenamiento,1799.27,19,15
SKU00221,Chromebook Corsair,Electronica,5223.54,34,25
SKU00222,Monitor 4K WD,Electronica,22283.31,121,#REF!
SKU00223,Mouse Ergonomico HyperX,Accesorios,682.80,64,25
SKU00224,Monitor Curvo MSI,Electronica,9984.28,129,50
SKU00225,Pantalla Portatil Lenovo,Electronica,5241.69,48,50
SKU00226,Mouse Gaming HP,Accesorios,1463.49,5,10
SKU00227,Teclado Gaming Canon,Accesorios,1838.68,68,30
SKU00228,Audifonos Gigabyte,Audio,584.86,24,20
SKU00229,Touchpad HP,Accesorios,1115.61,8,5
SKU00230,Bocina Bluetooth Razer,Audio,2666.16,35,25
SKU00231,SSD Epson,Almacenamiento,2233.59,2,5
SKU00232,Impresora Laser,Impresion,4615.28,4,10
SKU00233,RAM Sony,Componentes,2402.96,5,25
SKU00234,Ultrabook Logitech,Electronica,35367.19,21,10
SKU00235,Monitor 4K WD,Electronica,20709.72,10,20
SKU00236,SSD Externo Kingston,Almacenamiento,1896.75,23,25
SKU00237,Monitor Curvo BenQ,Electronica,18145.09,9,50
SKU00238,Laptop Gigabyte,Electronica,11247.41,5,15
SKU00239,Teclado Mecanico Samsung,Accesorios,2002.45,15,50
SKU00240,Stylus Lenovo,Accesorios,2115.02,30,20
SKU00241,Monitor Curvo Seagate,Electronica,15170.03,10,15
SKU00242,HDD Razer,Almacenamiento,655.95,43,20
SKU00243,Mouse Logitech,Accesorios,413.46,6,25
SKU00244,MacBook Samsung,Electronica,19213.56,6,30
SKU00245,HDD LG,Almacenamiento,1939.05,39,15
SKU00246,SSD Externo TP-Link,Almacenamiento,2681.40,15,20
SKU00247,Ultrabook Anker,Electronica,24201.15,27,25
SKU00248,HDD Lenovo,Almacenamiento,2782.22,32,15
SKU00249,Microfono USB Asus,Audio,2157.21,11,20
SKU00250,Bocina Bluetooth Razer,Audio,2863.30,10,5
SKU00251,Audifonos Gaming Samsung,Audio,2662.60,0,25
SKU00252,Teclado MSI,Accesorios,1572.00,31,15
SKU00253,USB Drive LG,Almacenamiento,303.87,34,30
SKU00254,Mouse Ergonomico,Accesorios,982.35,6,5
SKU00255,Teclado Anker,Accesorios,1284.65,8,5
SKU00256,Microfono WD,Audio,1061.95,116,50
SKU00257,Mouse Ergonomico LG,Accesorios,963.59,66,30
SKU00258,SSD,Almacenamiento,2435.12,9
SKU00259,MacBook Samsung,Electronica
SKU00260,SSD Externo Canon,Almacenamiento,1474.13,17,15
SKU00261,Laptop Samsung,Electronica,15401.59,134,50
SKU00262,USB Drive Epson,Almacenamiento,74.58,50,sin_dato
SKU00263,Mouse Xiaomi,Accesorios,406.67,21,50
SKU00264,Microfono USB HP,Audio,2143.80,1,5
SKU00265,Procesador Apple,Componentes,15493.63,105,50
SKU00266,Monitor Gaming MSI,Electronica,14741.07,7,10
SKU00267,Audifonos WD,Audio,459.13,13,15
SKU00268,Notebook Samsung,Electronica,19819.79,48,20
SKU00269,Monitor 4K SanDisk,Electronica,muchos,22,15
SKU00270,Microfono USB Kingston,Audio,1042.74,12,20
SKU00271,MacBook Lenovo,Electronica,34989.43,20,10
SKU00272,Teclado Gaming Sony,Accesorios,2771.11,7,10,mil,TBD
SKU00273,USB Drive Dell,Almacenamiento,73.14,12,5
SKU00274,Audifonos Canon,Audio,,35,15
SKU00275,MicroSD Asus,Almacenamiento,940.16,45,20
SKU00276,NAS Gigabyte,Almacenamiento,6637.48,12,20
SKU00277,Licencia Windows,Software,2990.70,1,5
SKU00278,Teclado Gaming WD,Accesorios,4344.97,8,5
SKU00279,Microfono WD,Audio,837.73,22,30
SKU00280,iPad,Electronica,25924.39,4,10
SKU00281,Monitor Epson,Electronica,11799.55,20,25
SKU00282,Microfono USB Acer,Audio,956.39,52,30
SKU00283,Bocina Bluetooth Logitech,Audio,3045.54,17,20
SKU00284,Audifonos Bluetooth Xiaomi,Audio,1097.60,46,20
SKU00285,RAM Apple,Componentes,2321.24,23,30
SKU00286,Stylus Seagate,Accesorios,1106.01,23,10
SKU00287,Audifonos Bluetooth Kingston,Audio,1261.17,INVALIDO,25
SKU00288,Bocina Xiaomi,Audio,1569.59,30,25
SKU00289,SSD Canon,Almacenamiento,1766.58,32,25,None
SKU00290,Chromebook Dell,Electronica,5805.09
SKU00291,Mouse Gaming Seagate,Accesorios,1616.55,13,5
SKU00292,SSD Externo Canon,Almacenamiento,1674.75,60,20
SKU00293,Mouse Gaming MSI,Accesorios,1493.35,22,20
SKU00294,HDD Externo,Almacenamiento,2350.55,0,5
SKU00295,Teclado Gaming BenQ,Accesorios,4728.96,35,20
SKU00296,Stylus,Accesorios,1452.76,28,15
SKU00297,Repetidor WiFi,Redes,1718.10,22,20
SKU00298,Microfono Canon,Audio,2409.55,114,50
SKU00299,Mouse Corsair,Accesorios,249.87,4,5
SKU00300,Teclado Gaming HP,Accesorios,1496.60,61,30
SKU00301,Pantalla Portatil Seagate,Electronica,3925.94,1,30
SKU00302,MicroSD Anker,Almacenamiento,679.23,29,10
SKU00303,Laptop,Electronica,15773.14,19,30
SKU00304,Monitor Curvo Samsung,Electronica,11815.05,78,50
SKU00305,Microfono Samsung,Audio,927.85,8,10
SKU00306,Mouse Gaming Lenovo,Accesorios,1741.97,5,5
SKU00307,Monitor Gaming WD,Electronica,12580.53,35,15
SKU00308,Teclado Sony,Accesorios,690.28,6,5
SKU00309,Pantalla Portatil Epson,Electronica,5588.14,38,20
SKU00310,HDD Externo Gigabyte,Almacenamiento,2040.82,4,15
SKU00311,Microfono USB Dell,Audio,1222.83,7,5
SKU00312,Touchpad Apple,Accesorios,1900.13,73,25
SKU00313,Microfono,Audio,3128.91,75,30
SKU00314,HDD Externo Seagate
SKU00315,Microfono USB Asus,Audio,1781.80,87,30
SKU00316,HDD Apple,Almacenamiento,1092.07,69,50
SKU00317,Audifonos Gaming HP,Audio,#REF!,1,10
SKU00318,Laptop Sony,Electronica,9860.92,4,25
SKU00319,Pantalla Portatil Corsair,Electronica,4762.46,26,50
SKU00320,MicroSD Dell,Almacenamiento,541.48,9,15
SKU00321,SSD Externo Lenovo,Almacenamiento,2452.47,58,---
SKU00322,Audifonos Bluetooth BenQ,Audio,2287.59,15,10
SKU00323,Laptop Xiaomi,Electronica,15581.08,7,5
SKU00324,Monitor 4K SanDisk,Electronica,13140.05,13,5
SKU00325,Monitor 4K Lenovo,Electronica,18272.77,12,30
SKU00326,SSD Externo Logitech,Almacenamiento,1911.43,77,30
SKU00327,Pantalla Portatil Seagate,Electronica,3738.78,36,15
SKU00328,Laptop HP,Electronica,7622.73,41,20
SKU00329,Pantalla Portatil Canon,Electronica,7753.76,37,25
SKU00330,USB Drive WD,Almacenamiento,225.06,24,50
SKU00331,RAM Epson,Componentes,1473.29,25,10
SKU00332,Audifonos Gaming Lenovo,Audio,2509.62,28,30,cien,#REF!
SKU00333,Microfono LG,Audio,1015.06,5,5
SKU00334,SSD Externo Apple,Almacenamiento,3086.25,29,30
SKU00335,Laptop Seagate,Electronica,17218.54,32,25
SKU00336
SKU00337,Teclado Razer,Accesorios,1486.00,12,5
SKU00338,Audifonos Logitech,Audio,668.53,8,10
SKU00339,Monitor Anker,Electronica,10495.52,42,20
SKU00340,Monitor Curvo Samsung,Electronica,12620.81,51,30
SKU00341,MacBook Xiaomi,Electronica,27375.54,33,50
SKU00342,Chromebook Epson,Electronica,11836.56,28,25
SKU00343,Microfono USB Sony,Audio,1502.16,33,50
SKU00344,SSD,Almacenamiento,1087.00,18,10
SKU00345,Teclado Gaming Anker,Accesorios,1418.71,10,15
SKU00346,Chromebook Asus,Electronica,7501.01,9,10
SKU00347,Bocina HyperX,Audio,585.07,12,5
SKU00348,Tarjeta Video Razer,Componentes,9166.32,3,20
SKU00349,RAM Seagate,Componentes,2531.55,1,5
SKU00350,SSD Externo TP-Link,Almacenamiento,4499.89,29,20
SKU00351,RAM Samsung,Componentes,1790.32,14,20
SKU00352,Pasta Termica,Componentes,79.57,23,25
SKU00353,Bocina Apple,Audio,1170.18,41,15
SKU00354,MacBook Kingston,Electronica,31238.41,76,30
SKU00355,Teclado Mecanico Epson,Accesorios,840.17,51,20
SKU00356,Mouse Ergonomico Logitech,Accesorios,1243.29,16,10
SKU00357,Teclado Dell,Accesorios,1052.86,44,30
SKU00358,Stylus LG,Accesorios,577.80,59,30
SKU00359,Bocina Corsair,Audio,638.09,44,25
SKU00360,Monitor 4K SanDisk,Electronica,19778.66,2,20
SKU00361,Teclado Mecanico Sony,Accesorios,1730.57,9,5
SKU00362,Chromebook Corsair,Electronica,7681.56,12,5
SKU00363,Audifonos Samsung,Audio,213.42,20,50
SKU00364,Control Gaming,Gaming,1643.60,73,25
SKU00365,Teclado Mecanico MSI,Accesorios,3647.99,74, 
SKU00366,RAM Asus,Componentes,2570.10,4,5
SKU00367,Mouse LG,Accesorios,527.74,6,10
SKU00368,SSD Externo BenQ
SKU00369,Teclado Mecanico LG,Accesorios,sin_dato,28,30
SKU00370,Touchpad Corsair,Accesorios,1920.30,39,INVALIDO
SKU00371,Bocina Logitech,Audio,673.60,6,5
SKU00372,Monitor 4K Xiaomi,Electronica,12647.18,28,15
SKU00373,Notebook Samsung,Electronica,10181.49,61,30,inf
SKU00374,Soporte Laptop,Accesorios,452.14,42,20
SKU00375,Mouse Ergonomico Razer,Accesorios,1188.07,29,20
SKU00376,Procesador Anker,Componentes,9293.85,33,30
SKU00377,Fuente Poder Canon,Componentes,2870.84,11,15
SKU00378,Microfono Kingston,Audio,2682.72,4,15
SKU00379,Ultrabook Logitech,Electronica,16323.25,86,30
SKU00380,Monitor Gaming Apple,Electronica,19603.12,12,15,null
SKU00381,Monitor Asus,Electronica,7812.21,32,null
SKU00382,SSD Externo MSI,Almacenamiento,2978.23,17,25
SKU00383,USB Drive Logitech,Almacenamiento,128.91
SKU00384,Mouse,Accesorios,444.87,73,25
SKU00385,Mouse Apple,Accesorios,219.41,15,cien
SKU00386,Barra Sonido Canon,Audio,3243.08,20,15
SKU00387,SSD Asus,Almacenamiento,2463.23,28,15
SKU00388,Chromebook HyperX,Electronica,12920.80,10,5
SKU00389,NAS HyperX,Almacenamiento,10333.92,30,10
SKU00390,Barra Sonido Gigabyte,Audio,3890.47,66,25
SKU00391,Pantalla Portatil Sony,Electronica,5136.38,18,15
SKU00392,Bocina Canon,Audio,1390.87,117,50
SKU00393,Monitor Gaming,Electronica,7613.45,47,20
SKU00394,Audifonos Bluetooth Seagate,Audio,2621.50,61,50,N/A
SKU00395,Monitor 4K Epson,Electronica,22951.97,73,30
SKU00396,Tarjeta Video BenQ,Componentes,23628.32,9,30
SKU00397,Teclado Mecanico Epson,Accesorios,pendiente,132,50
SKU00398,Touchpad WD,Accesorios,615.53,14,20
SKU00399,Monitor Xiaomi,Electronica,11622.45,,50
SKU00400,SSD Externo SanDisk,Almacenamiento,2098.41,16,50
SKU00401,Mouse Gaming Razer,Accesorios,906.95,35,20
SKU00402,Barra Sonido Kingston,Audio,6734.41,102,50
SKU00403,Bocina Razer,Audio,1573.44,14,25
SKU00404,HDD Apple,Almacenamiento,1549.06,34,15
SKU00405,Notebook LG,Electronica,12806.71,14,30
SKU00406,Procesador Samsung,Componentes,4036.33,30,30
SKU00407,Pantalla Portatil Corsair,Electronica,4617.83,81,30
SKU00408,Mouse Gaming Asus,Accesorios,1113.46,38,30
SKU00409,Microfono USB TP-Link,Audio,1242.88,42,20
SKU00410,SSD Externo Gigabyte,Almacenamiento,1563.27,0,5
SKU00411,Teclado Gaming HyperX,Accesorios,---,79,50
SKU00412,SSD Externo Seagate,Almacenamiento,3736.37,10,15
SKU00413,NAS Gigabyte,Almacenamiento,20488.38,74,muchos
SKU00414,SSD Externo Asus,Almacenamiento,1674.67,20,20
SKU00415,Monitor 4K Logitech,Electronica,21686.12,11,20
SKU00416,Microfono USB Acer,Audio,1624.93,36,25
SKU00417,Mouse Ergonomico Acer,Accesorios,401.12,38,20
SKU00418,Mouse Ergonomico MSI,Accesorios,351.33,63,25
SKU00419,RAM Canon,Componentes,2018.96,80,50
SKU00420,Mouse HyperX,Accesorios,262.08,17,10
SKU00421,Chromebook Kingston,Electronica,8730.11,10,5
SKU00422,Touchpad Seagate,Accesorios,646.11,3,5
SKU00423,MicroSD WD,Almacenamiento,194.50,0,5
SKU00424,RAM Samsung,Componentes,527.01,7,5
SKU00425,Monitor Gaming Acer,Electronica,13665.21,0,10
SKU00426,Audifonos Bluetooth MSI,Audio,1101.54,49,30
SKU00427,Ultrabook Asus,Electronica,15913.80,29,50
SKU00428,RAM Razer,Componentes,2223.32,78,$100
SKU00429,Pantalla Portatil Apple,Electronica,6560.48,49,20
SKU00430,Ultrabook MSI,Electronica,13277.08,0,10
SKU00431,Audifonos Bluetooth MSI,Audio,2352.18,1,10
SKU00432,Teclado Logitech,Accesorios,1476.23,21,30
SKU00433,Microfono USB HyperX,Audio,1614.16,29,15
SKU00434
SKU00435,Procesador Epson,Componentes,4767.64,17,10
SKU00436,Chromebook HP,Electronica,10264.22,17,25
SKU00437,UPS,Energia,3166.77,23,15
SKU00438,Touchpad Sony,Accesorios,1252.27,4,15
SKU00439,Mouse Lenovo,Accesorios,348.09,41,25
SKU00440,MicroSD Razer,Almacenamiento,175.13,2,50
SKU00441,USB Drive Kingston,Almacenamiento,51.10,35,30
SKU00442,Monitor Seagate,Electronica,5155.66,59,25
SKU00443,SSD LG,Almacenamiento,3197.21,1,5
SKU00444,Teclado Asus,Accesorios,677.09,3,5
SKU00445,SSD LG,Almacenamiento,1737.94,25,25
SKU00446,HDD Externo Canon,Almacenamiento
SKU00447,Monitor Curvo Lenovo,Electronica,8612.71,57,50
SKU00448,Tarjeta Video Dell,Componentes,21763.08,25,15
SKU00449,Barra Sonido Canon,Audio,2198.80,30,10
SKU00450,Procesador LG,Componentes,4597.75,39,15
SKU00451,HDD LG,Almacenamiento,1296.99,9,5
SKU00452,Capturadora Video,Video,5486.31,86,30
SKU00453,Microfono USB Gigabyte,Audio,913.72,3,10
SKU00454,Audifonos Bluetooth Asus,Audio,1532.41,2,30
SKU00455,Ultrabook Corsair,Electronica,16785.62,17,20
SKU00456,Monitor Gaming Corsair,Electronica,10214.69,28,50
SKU00457,HDD Externo Seagate,Almacenamiento,1244.56,40,15
SKU00458,Mouse Gaming,Accesorios,892.46,10,25
SKU00459,Monitor Curvo HP,Electronica,5260.34,7,5
